               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.024079,            0.010303,          0.00092507,              0.8841,             0.91319,             0.94569,               0.659,            0.022801,           0.0085317,           0.0004127,           0.0052174,           0.0052174,           0.0052174
                  80,             0.02398,             0.01211,          0.00067104,             0.90129,             0.91777,             0.94709,             0.65601,            0.021999,           0.0083646,          0.00033617,           0.0051234,           0.0051234,           0.0051234
                  81,            0.023982,            0.010725,           0.0011859,             0.88422,              0.9254,             0.94162,             0.66079,            0.021782,           0.0085053,          0.00039861,           0.0050296,           0.0050296,           0.0050296
                  82,             0.02334,            0.011119,           0.0011206,             0.89851,             0.90721,             0.94215,             0.67584,            0.021681,           0.0085081,          0.00049776,            0.004936,            0.004936,            0.004936
                  83,            0.022466,           0.0097503,          0.00051524,             0.89688,             0.90363,             0.94026,             0.65466,            0.022553,           0.0085198,           0.0004045,           0.0048426,           0.0048426,           0.0048426
                  84,            0.022288,             0.01015,          0.00087866,             0.90771,              0.8839,             0.94024,             0.65284,            0.022903,           0.0086756,          0.00034364,           0.0047495,           0.0047495,           0.0047495
                  85,            0.023192,            0.010286,          0.00051786,             0.88899,             0.90045,             0.94054,             0.64753,            0.022588,           0.0084938,          0.00031966,           0.0046568,           0.0046568,           0.0046568
                  86,            0.021799,             0.01074,           0.0011351,             0.87258,             0.91157,             0.93703,              0.6592,            0.022513,           0.0083349,          0.00033455,           0.0045644,           0.0045644,           0.0045644
                  87,            0.023144,            0.010772,          0.00078257,             0.87993,             0.91771,             0.94709,             0.66418,            0.022841,           0.0083846,          0.00028051,           0.0044724,           0.0044724,           0.0044724
                  88,            0.022591,            0.010127,          0.00058025,             0.90204,             0.89803,             0.94567,             0.66403,            0.023045,           0.0083954,          0.00026676,           0.0043809,           0.0043809,           0.0043809
                  89,            0.021249,           0.0098036,          0.00051292,             0.90021,             0.90488,             0.94822,             0.66822,            0.022449,           0.0084321,          0.00028785,           0.0042899,           0.0042899,           0.0042899
                  90,            0.020652,           0.0097292,           0.0011862,             0.89289,             0.90391,              0.9502,             0.67258,            0.022263,           0.0082818,          0.00034144,           0.0041994,           0.0041994,           0.0041994
                  91,            0.020929,            0.010799,          0.00062315,             0.88644,             0.89649,             0.93452,             0.66116,            0.022015,            0.008294,          0.00028034,           0.0041094,           0.0041094,           0.0041094
                  92,            0.020279,           0.0098892,          0.00045427,             0.88985,             0.90126,             0.94082,             0.66204,            0.022266,           0.0083466,          0.00024956,           0.0040201,           0.0040201,           0.0040201
                  93,            0.021455,            0.010183,          0.00062301,             0.89241,             0.90413,             0.95067,             0.66352,            0.022393,           0.0084485,          0.00023289,           0.0039314,           0.0039314,           0.0039314
                  94,            0.020687,             0.01045,          0.00038732,             0.90209,             0.90185,             0.94908,             0.66763,            0.021835,           0.0086481,          0.00023059,           0.0038434,           0.0038434,           0.0038434
                  95,            0.019768,           0.0092899,          0.00054432,             0.88586,             0.92135,             0.94638,             0.66997,            0.021962,           0.0087103,          0.00023405,           0.0037562,           0.0037562,           0.0037562
                  96,            0.019669,           0.0099125,          0.00061999,              0.8946,             0.90555,             0.94594,             0.66164,            0.022309,           0.0087234,          0.00025246,           0.0036697,           0.0036697,           0.0036697
                  97,            0.019981,           0.0096403,          0.00045243,             0.90086,             0.91468,               0.948,             0.66781,            0.021581,           0.0082655,          0.00027727,            0.003584,            0.003584,            0.003584
                  98,            0.020269,           0.0098156,           0.0004135,             0.87876,             0.92074,             0.94533,             0.67043,            0.021797,           0.0083255,          0.00028567,           0.0034991,           0.0034991,           0.0034991
                  99,            0.019467,           0.0093689,          0.00074702,             0.88969,             0.90185,             0.94622,             0.67869,            0.021683,           0.0083822,          0.00027888,           0.0034152,           0.0034152,           0.0034152
                 100,            0.019153,           0.0099472,          0.00068857,             0.87905,             0.92737,             0.94706,             0.66617,            0.021774,           0.0086025,          0.00023519,           0.0033321,           0.0033321,           0.0033321
                 101,            0.020026,           0.0091188,          0.00095145,             0.91208,             0.89273,             0.94999,             0.67645,            0.021489,           0.0086297,          0.00022677,             0.00325,             0.00325,             0.00325
                 102,            0.019155,           0.0093332,          0.00092136,             0.89082,             0.90176,             0.94834,             0.67757,             0.02137,           0.0085931,          0.00021461,           0.0031689,           0.0031689,           0.0031689
                 103,            0.020251,           0.0093075,          0.00043128,              0.8998,             0.91047,             0.94781,             0.67858,            0.021807,           0.0081552,          0.00024146,           0.0030888,           0.0030888,           0.0030888
                 104,            0.018895,           0.0095683,          0.00046055,             0.89573,             0.92823,             0.95357,             0.67954,            0.021805,           0.0081116,          0.00024188,           0.0030097,           0.0030097,           0.0030097
                 105,            0.019288,           0.0093817,          0.00052517,             0.87813,             0.93803,             0.95222,              0.6702,            0.021786,           0.0082548,          0.00024715,           0.0029318,           0.0029318,           0.0029318
                 106,            0.018527,           0.0091821,          0.00040787,             0.91317,             0.91398,             0.95371,             0.67903,            0.021452,           0.0084956,          0.00031385,            0.002855,            0.002855,            0.002855
